03762  	1
04284  	1
04807  	0
05329  	0
05851  	1
06374  	1
06896  	0
07419  	0
07941  	1
08464  	1
08975  	1
09497  	1
10019  	0
10542  	0
11064  	0
11587  	0
12109  	1
12632  	1
13154  	1
13677  	1
14199  	0
14721  	0
15244  	0
15766  	0
16289	1
16550	1
16811	1
17072	1
17334	0
17589	0
17845	0
18106	0
18367	1
18628	1
18889	0
19150	0
19412	1
19673	1
19934	0
20195	0
20457  	1
20979  	1
21502  	0
22024  	0
22547  	1
23069  	1
23591  	0
24114  	0
24636  	1
25159  	1
25681  	0
26192  	0
26715  	1
27237  	1
27759  	0
28282  	0
28804  	1
29327  	1
29849  	0
30372  	0
30894  	1
31417  	1
31939  	0
32461  	0
32984  	1
33506  	1
34029  	1
34551  	1
35062  	0
35585  	0
36107  	0
36629  	0
37152  	1
37674  	1
38197  	1
38719  	1
39242  	0
39764  	0
40287  	0
40809  	0
