06702  	1
07224  	1
07746  	0
08269  	0
08791  	1
09302  	1
09825  	0
10347  	0
10870  	1
11392  	1
11914  	0
12437  	0
12959  	1
13482  	1
14004  	0
14527  	0
15049  	1
15572  	1
16094  	0
16616  	0
17139  	1
17650  	1
18172  	0
18695  	0
19217  	1
19740  	1
20262  	0
20784  	0
21307  	1
21829  	1
22352  	0
22874  	0
23397  	1
23919  	1
24442  	0
24952  	0
25475  	1
25997  	1
26520  	0
27042  	0
27565  	1
28087  	1
28610  	0
29132  	0
29654  	1
30177  	1
30699  	0
31222  	0
31744  	1
32267  	1
32789  	0
33312  	0
33834  	1
34345  	1
34867  	0
35390	0
36390	1
