67712  	1
72936  	1
78045  	0
83269  	0
88494  	1
93718  	1
98943  	0
04167  	0
09392  	1
14616  	1
19841  	0
25065  	0
30290  	1
35514  	1
40739  	0
45963  	0
51188  	1
56296  	1
61521  	1
66745  	1
71970  	0
77194  	0
82419  	0
87643  	0
92868  	0
98092  	1
03317  	0
08541  	1
13766  	0
18990  	1
24214  	0
29439  	1
34663  	0
39772  	1
45000  	0
50221  	1
55445  	0
60670  	1
65894  	0
71119  	1
76343  	1
81568  	1
86792  	0
92017  	0
97241  	1
02466  	1
07690  	0
12915  	0
18139  	1
23364  	1
28472  	0
33717  	0
38921  	1
44146  	1
49370  	0
54600  	0
55600	1
