00010	1
00530	1
01050	0
01570	0
02090	1
02610	1
03130	0
03650	0
04170	1
04690	1
05210	0
05730	0
06250	1
06770	1
07290	0
07810	0
08330	1
08850	1
09370	0
09890	0
10410	1
10930	1
11450	0
11970	0
12490	1
13010	1
13530	0
14050	0
14570	1
15090	1
15610	0
16130	0
16650	1
17170	1
17690	0
18210	0
18730	1
19250	1
19770	0
20290	0
20810	1
21330	1
21850	0
22370	0
22890	1
23410	1
23930	0
24450	0
24970	1
25490	1
26010	0
26530	0
27050	1
27570	1
28090	0
28610	0
29130	1
29650	1
30170	0
30690	0
31210	1
31730	1
32250	0
32770	0	
